bootstrap;pseudo_F;p_value;permutations;ss_among;ss_within;df_among;df_within;n;k;stratified
151;37,10092508657161;0,005;199;20,42241310922614;233,85190034097457;6;2549;2556;7;True
152;35,758370180167795;0,005;199;19,747769384232583;217,58880782835297;6;2364;2371;7;True
153;36,52116981191973;0,005;199;19,64360980915137;212,01008181415727;6;2365;2372;7;True
154;33,93982117576545;0,005;199;18,77282878260678;218,0218719133333;6;2365;2372;7;True
155;31,595958947708784;0,005;199;17,451753969498583;200,68401635617906;6;2180;2187;7;True
156;30,522476708915782;0,005;199;16,880629175052718;201,1279163834792;6;2182;2189;7;True
157;34,41875074052305;0,005;199;18,705496441961174;214,12647000739756;6;2364;2371;7;True
158;34,738389772094095;0,005;199;18,807801083386664;213,4970256980641;6;2366;2373;7;True
159;37,18321793587414;0,005;199;19,977521588012877;228,25127998902477;6;2549;2556;7;True
160;37,647027756637854;0,005;199;20,270077085248403;228,74061853478855;6;2549;2556;7;True
161;34,387357886220194;0,005;199;18,407650455580608;210,99853746393453;6;2365;2372;7;True
162;35,905918893968604;0,005;199;19,740720903182506;233,5691864193116;6;2549;2556;7;True
163;34,032661311579076;0,005;199;18,467023173442016;213,88527041389898;6;2365;2372;7;True
164;34,765809506314376;0,005;199;18,761391810315274;212,62235737446701;6;2364;2371;7;True
165;37,46701377312037;0,005;199;19,96900536017199;226,5146437734444;6;2550;2557;7;True
166;30,124543240141225;0,005;199;16,634454697478247;200,72086186774646;6;2181;2188;7;True
167;33,4993102593112;0,005;199;18,256433897946977;214,72188233463078;6;2364;2371;7;True
168;33,467979204064;0,005;199;18,232414814779418;214,82172152643687;6;2366;2373;7;True
169;33,488724767180216;0,005;199;18,283080460134897;215,1942461670702;6;2365;2372;7;True
170;34,07738900634988;0,005;199;18,84807163808898;218,0120539544776;6;2365;2372;7;True
171;33,20255794202186;0,005;199;18,317562820376423;217,45832628235655;6;2365;2372;7;True
172;36,88952249138449;0,005;199;19,848552849457775;228,7625993297158;6;2551;2558;7;True
173;33,693626083875806;0,005;199;18,82318983877056;220,11097226560344;6;2364;2371;7;True
174;33,625607508038115;0,005;199;18,346997136765566;214,97654340245384;6;2364;2371;7;True
175;35,945407474820705;0,005;199;19,488023378241536;213,6095192801946;6;2364;2371;7;True
176;33,5293970265273;0,005;199;18,649652412544214;219,14987152107048;6;2364;2371;7;True
177;33,56391943448862;0,005;199;18,620513035215794;218,67486510447378;6;2365;2372;7;True
178;38,79120647912998;0,005;199;20,495063439755285;224,54578633903202;6;2550;2557;7;True
179;32,33132131800021;0,005;199;17,951684428198945;201,83020747801393;6;2181;2188;7;True
180;38,110580030615644;0,005;199;20,986269716273142;233,8502641265982;6;2548;2555;7;True
181;33,83565562472075;0,005;199;18,304534662981325;213,4180287397853;6;2367;2374;7;True
182;31,732723476123773;0,005;199;17,794420823033818;203,74255733938367;6;2180;2187;7;True
183;36,51218670971748;0,005;199;19,999319010222763;232,60847692297298;6;2548;2555;7;True
184;30,834846565420975;0,005;199;17,12143978547337;201,83798705841238;6;2181;2188;7;True
185;37,38577703020402;0,005;199;20,680888700690133;217,95107111158646;6;2364;2371;7;True
186;33,80908635886189;0,005;199;18,717127584908297;218,3078014188204;6;2366;2373;7;True
187;30,987097252954168;0,005;199;16,710582316477655;196,02664368507547;6;2181;2188;7;True
188;35,767267411142605;0,005;199;19,543626528658848;215,28591389938668;6;2364;2371;7;True
189;38,01330965422118;0,005;199;20,894498407137007;233,42342645099114;6;2548;2555;7;True
190;33,83119309232502;0,005;199;18,784942151472734;218,7705052991263;6;2364;2371;7;True
191;36,67894407974189;0,005;199;19,575752419640537;210,36889889650126;6;2365;2372;7;True
192;28,242743397855765;0,005;199;16,00430749550958;188,51212687942115;6;1996;2003;7;True
193;35,762878335261874;0,005;199;19,736396444232724;234,45202063404156;6;2549;2556;7;True
194;33,419689841190475;0,005;199;18,52312714357626;218,46998931233128;6;2365;2372;7;True
195;36,650923385445665;0,005;199;20,114998261295113;233,1597944059901;6;2549;2556;7;True
196;30,707852352014307;0,005;199;16,879262971041555;199,71435348770478;6;2180;2187;7;True
197;33,4340618546773;0,005;199;18,33939690731924;216,21001298182745;6;2365;2372;7;True
198;30,79859109011344;0,005;199;16,868471745008833;198,99865060128093;6;2180;2187;7;True
199;41,581248038695655;0,005;199;22,428498244763887;229,06083961403476;6;2548;2555;7;True
200;34,47237353706588;0,005;199;18,859856092028792;215,74000151048764;6;2366;2373;7;True
