date;day;year;interval_0;interval_1;interval_2;interval_3;interval_4;interval_5;interval_6;interval_7;interval_8;interval_9;interval_10;interval_11;interval_12;interval_13;interval_14;interval_15;interval_16;interval_17;interval_18;interval_19;interval_20;interval_21;interval_22;interval_23;interval_24;interval_25;interval_26;interval_27;interval_28;interval_29;interval_30;interval_31;interval_32;interval_33;interval_34;interval_35;interval_36;interval_37;interval_38;interval_39;interval_40;interval_41;interval_42;interval_43;interval_44;interval_45;interval_46;interval_47;total_trips
2009-02-04;wednesday;2009;2,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;3,0;3,0;2,0;2,0;2,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;2,0;3,0;2,0;0,0;3,0;3,0;3,0;3,0;2,0;3,0;0,0;0,0;53
2009-02-05;thursday;2009;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;3,0;2,0;5,0;1,0;4,0;2,0;3,0;3,0;2,0;3,0;1,0;3,0;3,0;0,0;0,0;1,0;0,0;1,0;0,0;1,0;3,0;3,0;2,0;3,0;4,0;4,0;3,0;2,0;1,0;4,0;2,0;3,0;1,0;77
2009-02-06;friday;2009;1,0;2,0;0,0;0,0;3,0;0,0;1,0;1,0;2,0;0,0;0,0;0,0;2,0;1,0;2,0;0,0;3,0;2,0;0,0;4,0;4,0;4,0;0,0;0,0;0,0;1,0;2,0;1,0;1,0;1,0;1,0;1,0;3,0;2,0;1,0;2,0;5,0;3,0;2,0;6,0;1,0;1,0;1,0;1,0;2,0;1,0;2,0;3,0;76
2009-02-07;saturday;2009;6,0;5,0;2,0;1,0;1,0;2,0;1,0;2,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;3,0;2,0;0,0;2,0;0,0;1,0;3,0;3,0;3,0;2,0;0,0;4,0;1,0;1,0;0,0;3,0;6,0;2,0;0,0;1,0;1,0;3,0;1,0;4,0;1,0;79
2009-02-08;sunday;2009;1,0;5,0;2,0;4,0;2,0;0,0;1,0;3,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;2,0;0,0;4,0;1,0;2,0;5,0;2,0;2,0;1,0;0,0;2,0;0,0;1,0;2,0;1,0;1,0;3,0;1,0;1,0;2,0;4,0;5,0;3,0;1,0;0,0;1,0;1,0;0,0;0,0;69
2009-02-09;monday;2009;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;2,0;1,0;0,0;4,0;3,0;1,0;2,0;2,0;0,0;2,0;5,0;0,0;0,0;2,0;5,0;3,0;2,0;1,0;0,0;1,0;0,0;1,0;0,0;1,0;3,0;6,0;2,0;1,0;1,0;4,0;1,0;0,0;2,0;4,0;1,0;2,0;3,0;71
2009-02-10;tuesday;2009;1,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;1,0;3,0;4,0;1,0;3,0;4,0;1,0;2,0;1,0;1,0;0,0;3,0;2,0;2,0;1,0;1,0;3,0;4,0;1,0;4,0;2,0;4,0;2,0;3,0;1,0;3,0;1,0;1,0;3,0;1,0;6,0;3,0;1,0;1,0;79
2009-02-11;wednesday;2009;0,0;0,0;1,0;2,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;3,0;1,0;3,0;0,0;4,0;2,0;3,0;1,0;0,0;0,0;3,0;1,0;2,0;1,0;2,0;4,0;0,0;1,0;2,0;4,0;4,0;4,0;2,0;4,0;4,0;5,0;3,0;6,0;3,0;1,0;5,0;4,0;2,0;2,0;0,0;95
2009-02-12;thursday;2009;0,0;1,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;2,0;4,0;4,0;3,0;2,0;2,0;3,0;1,0;5,0;1,0;7,0;1,0;0,0;2,0;1,0;2,0;2,0;3,0;1,0;2,0;3,0;6,0;2,0;3,0;4,0;3,0;4,0;2,0;2,0;4,0;5,0;1,0;6,0;98
2009-02-13;friday;2009;0,0;1,0;1,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;1,0;1,0;2,0;2,0;0,0;2,0;2,0;0,0;0,0;3,0;2,0;2,0;1,0;1,0;3,0;2,0;3,0;0,0;2,0;1,0;2,0;2,0;1,0;6,0;3,0;1,0;1,0;6,0;5,0;1,0;4,0;3,0;4,0;1,0;3,0;80
